mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01720004081726074,0.0009796567994718758,0.34410977363586426,0.010083458121038101,auto,10,1,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 1, 'weights': 'uniform'}",0.9760362694300518,0.9702072538860104,0.9702072538860104,0.9650032404407,0.9637070641607258,0.9690322163606997,0.004391083663218043,13
0.015200185775756835,0.0007474873253888184,0.30756425857543945,0.0086710964672479,auto,10,1,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 1, 'weights': 'distance'}",0.9760362694300518,0.9702072538860104,0.9702072538860104,0.9650032404407,0.9637070641607258,0.9690322163606997,0.004391083663218043,13
0.015415000915527343,0.0009711755687562,0.24509797096252442,0.006873323460148442,auto,10,2,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 2, 'weights': 'uniform'}",0.9708549222797928,0.9630829015544041,0.969559585492228,0.9617627997407647,0.9604666234607907,0.965145366505596,0.004234867470732838,325
0.015799951553344727,0.0007485066961095002,0.20667595863342286,0.005380887882302837,auto,10,2,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 2, 'weights': 'distance'}",0.9760362694300518,0.9702072538860104,0.9702072538860104,0.9650032404407,0.9637070641607258,0.9690322163606997,0.004391083663218043,13
0.01590867042541504,0.0016596069582063403,0.25440306663513185,0.010352562319851273,auto,10,3,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",0.9727979274611399,0.9689119170984456,0.9650259067357513,0.966299416720674,0.9643551523007129,0.9674780640633447,0.0030825880066044564,217
0.016928482055664062,0.0006659586245104123,0.223272705078125,0.011088049266224571,auto,10,3,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'distance'}",0.9734455958549223,0.9689119170984456,0.9650259067357513,0.966299416720674,0.9643551523007129,0.9676075977421013,0.0033087259885017776,193
0.016200923919677736,0.0011664412805428288,0.26552157402038573,0.016314379782091517,auto,10,4,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 4, 'weights': 'uniform'}",0.9708549222797928,0.9689119170984456,0.9682642487046632,0.9669475048606611,0.9598185353208036,0.9669594256528733,0.0037863474973063205,289
0.018116188049316407,0.0018494123642293482,0.2120508670806885,0.008382604078436884,auto,10,4,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 4, 'weights': 'distance'}",0.9747409326424871,0.9727979274611399,0.9656735751295337,0.9675955930006481,0.9637070641607258,0.968903018478907,0.004204477726563552,61
0.014527606964111327,0.0012024672782756202,0.23871331214904784,0.0067919383097464325,auto,10,5,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 5, 'weights': 'uniform'}",0.9715025906735751,0.9689119170984456,0.9669689119170984,0.9688917692806222,0.9624108878807518,0.9677372153700986,0.003028234626926423,181
0.015013408660888673,0.0006223514733304256,0.2005692958831787,0.0036379854491647933,auto,10,5,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 5, 'weights': 'distance'}",0.9715025906735751,0.969559585492228,0.9669689119170984,0.9688917692806222,0.9624108878807518,0.9678667490488551,0.003088955765962619,145
0.015506839752197266,0.00125805165335869,0.24150686264038085,0.001807304429070512,auto,10,6,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 6, 'weights': 'uniform'}",0.9721502590673575,0.969559585492228,0.9669689119170984,0.9682436811406351,0.9624108878807518,0.9678666650996142,0.003222693397454272,157
0.01541280746459961,0.0003864037488174921,0.20762233734130858,0.005574233035123586,auto,10,6,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 6, 'weights': 'distance'}",0.9734455958549223,0.9708549222797928,0.966321243523316,0.9675955930006481,0.9650032404407,0.9686441190198758,0.003088461917050756,73
0.017000675201416016,0.0012645936028427573,0.26655049324035646,0.006243727916901338,auto,10,7,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 7, 'weights': 'uniform'}",0.9721502590673575,0.9702072538860104,0.9682642487046632,0.966299416720674,0.9630589760207389,0.9679960308798888,0.0031455387489392615,133
0.0163238525390625,0.0010547782735710234,0.22368779182434081,0.006129533508591406,auto,10,7,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 7, 'weights': 'distance'}",0.9721502590673575,0.9702072538860104,0.9689119170984456,0.966299416720674,0.9630589760207389,0.9681255645586454,0.003167177986774551,109
0.016423463821411133,0.002407677384198255,0.2396219253540039,0.0027216515703112005,auto,10,8,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 8, 'weights': 'uniform'}",0.9734455958549223,0.9682642487046632,0.9689119170984456,0.9695398574206092,0.9643551523007129,0.9689033542758707,0.0029028181229844717,49
0.016433334350585936,0.0010194683498265193,0.20999832153320314,0.002442503499097533,auto,10,8,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 8, 'weights': 'distance'}",0.9740932642487047,0.9708549222797928,0.9676165803108808,0.9695398574206092,0.9669475048606611,0.9698104258241298,0.0025501435119209535,1
