mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_max_iter,param_probability,param_shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.0742637634277346,0.06626441041689854,0.15257658958435058,0.021520224998304,0.1,scale,linear,-1,True,True,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'shrinking': True}",0.7268211920529801,0.7268211920529801,0.7268211920529801,0.7272225289895086,0.7266703478741027,0.7268712906045104,0.0001850815920593545,29
4.969792795181275,0.10208112794389324,0.16045918464660644,0.02500447416541291,0.1,scale,linear,-1,True,False,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'shrinking': False}",0.7268211920529801,0.7268211920529801,0.7268211920529801,0.7272225289895086,0.7266703478741027,0.7268712906045104,0.0001850815920593545,29
0.3077398777008057,0.029610158341236953,0.010613298416137696,0.0017957733757437253,0.1,scale,linear,100,True,True,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 100, 'probability': True, 'shrinking': True}",0.7224061810154525,0.7229580573951435,0.7251655629139073,0.7266703478741027,0.7250138045278851,0.7244427907452982,0.001559658900046511,53
0.22117066383361816,0.01978858396340603,0.0077073097229003905,0.0003974779780221015,0.1,scale,linear,100,True,False,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 100, 'probability': True, 'shrinking': False}",0.7224061810154525,0.7229580573951435,0.7251655629139073,0.7266703478741027,0.7250138045278851,0.7244427907452982,0.001559658900046511,53
1.2568992137908936,0.038475789634908455,0.04908432960510254,0.005734199526341711,0.1,scale,linear,500,True,True,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 500, 'probability': True, 'shrinking': True}",0.7240618101545254,0.7229580573951435,0.7235099337748344,0.7239094422970734,0.7239094422970734,0.7236697371837301,0.0004001658526489929,79
1.4435729026794433,0.04524606024909904,0.04223055839538574,0.007449660280073989,0.1,scale,linear,500,True,False,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 500, 'probability': True, 'shrinking': False}",0.7240618101545254,0.7229580573951435,0.7235099337748344,0.7239094422970734,0.7239094422970734,0.7236697371837301,0.0004001658526489929,79
6.685799026489258,0.05599789579075305,0.47579164505004884,0.02137334096304365,0.1,scale,rbf,-1,True,True,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'shrinking': True}",0.8068432671081678,0.804635761589404,0.8024282560706402,0.8122584207620099,0.7863059083379348,0.8024943227736314,0.008728182093705033,7
6.476780652999878,0.07185768451775701,0.45484271049499514,0.03810894456233661,0.1,scale,rbf,-1,True,False,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'shrinking': False}",0.8062913907284768,0.804635761589404,0.8024282560706402,0.8122584207620099,0.7863059083379348,0.8023839474976932,0.008675820514804247,8
0.42339496612548827,0.034420034257777746,0.026545238494873048,0.0026515674459179927,0.1,scale,rbf,100,True,True,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'probability': True, 'shrinking': True}",0.7660044150110376,0.7621412803532008,0.7792494481236203,0.7642186637217007,0.7548315847598012,0.7652890783938722,0.007947543301536835,9
0.3639401912689209,0.010306825950410181,0.02421989440917969,0.002932200432874448,0.1,scale,rbf,100,True,False,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'probability': True, 'shrinking': False}",0.7660044150110376,0.7621412803532008,0.7792494481236203,0.7642186637217007,0.7548315847598012,0.7652890783938722,0.007947543301536835,9
2.086288833618164,0.05700109107421698,0.14740519523620604,0.017092556169673017,0.1,scale,rbf,500,True,True,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'shrinking': True}",0.7698675496688742,0.7488962472406181,0.7737306843267108,0.7531750414135836,0.7194919933738266,0.7530323032047226,0.019255795082347413,17
2.219227409362793,0.08085837998242096,0.14287967681884767,0.005787491086862638,0.1,scale,rbf,500,True,False,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'shrinking': False}",0.7698675496688742,0.7488962472406181,0.7737306843267108,0.7531750414135836,0.7194919933738266,0.7530323032047226,0.019255795082347413,17
5.195905113220215,0.0678333523189345,0.15986809730529786,0.016697683222034194,0.1,auto,linear,-1,True,True,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'shrinking': True}",0.7268211920529801,0.7268211920529801,0.7268211920529801,0.7272225289895086,0.7266703478741027,0.7268712906045104,0.0001850815920593545,29
4.991109418869018,0.06325123524973263,0.14506149291992188,0.020653668572006664,0.1,auto,linear,-1,True,False,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'shrinking': False}",0.7268211920529801,0.7268211920529801,0.7268211920529801,0.7272225289895086,0.7266703478741027,0.7268712906045104,0.0001850815920593545,29
0.28098464012145996,0.023296750785556257,0.012731409072875977,0.0011340642964818262,0.1,auto,linear,100,True,True,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': 100, 'probability': True, 'shrinking': True}",0.7224061810154525,0.7229580573951435,0.7251655629139073,0.7266703478741027,0.7250138045278851,0.7244427907452982,0.001559658900046511,53
